3,4,5,6,7,8,10,11,15,16,17,18,19,20,21,22,23,24,25,26,29,33,34,39,40
include,neurovault_or_carp,mandatory,activity,activity_pref_label,activity_description,,,item,item_pref_label,item_description,item_order,mri_type,analysis_type,duplicate,question,details,field_type,choices,visibility,bids_status,nidm_results,neurovault,use_case_meta-analysis,meta-analysis_comment
1,1,1,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,Material shared,material_shared,material shared,material shared,,,,1,,List types of images and non­imaging data provided,char,,1,,,,,
1,1,1,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,Material shared,material_shared,material shared,material shared,,,,1,,"Report on the completeness of the data (e.g., number of subjects where all types of imaging, demographic, and behavioral data is available)",char,,1,,,,,
1,1,1,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,URL DOI,url_doi,url doi,url doi,,,,0,,Stable URL or DOI,char,,1,,,,,
1,1,1,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,"URL, access information","url,_access_information","url, access information","url, access information",,,,0,,"Specific instructions on how to gain access. Specifically mention whether application must be vetted for particular intended research use (e.g. to preclude multiple users investigating the same question), or whether a research collaboration must be established",char,,1,,,,,
1,1,1,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,access cost,access_cost,access cost,access cost,,,,0,,Cost of access,char,,1,,,,,
1,1,1,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,Ethics compliance,ethics_compliance,ethics compliance,ethics compliance,,,,0,,Confirm that the ethics board of the host institution generating the data approves the sharing of the data made available,char,,1,,,,,
1,1,1,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,Constraints on use,constraints_on_use,constraints on use,constraints on use,,,,0,,"Clarify any constraints on uses of shared data, for example, whether users downloading the data also need ethics approval from their own institution",char,,1,,,,,
1,1,0,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,Documentation URL,documentation_url,documentation url,documentation url,,,,0,,"Provide URL to documentation, and specify its scope (e.g. worked examples, white papers, etc.)",,,1,,,,,
1,1,1,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,Data format,data_format,data format,data format,,,,0,,"Report the format of the image data shared, e.g. DICOM, MINC, NIFTI, etc.",dropdown,,1,,,,,
1,1,0,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,Ontologies,ontologies,ontologies,ontologies,,,,0,,"Data organization structures, including Data Dictionaries and Schemas. Is the software using an established ontology?",char,,1,,,,,
1,1,0,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,Visualization,visualization,visualization,visualization,,,,0,,Availability of in-resource visualization of the imaging or non­imaging data,boolean,,1,,,,,
1,1,0,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,De-identification,de-identification,de-identification,de-identification,,,,0,,"How, if at all, data are de-identified",boolean,Can data be de-identified? hiw,1,,,,,
1,1,0,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,Provenance and history,provenance_and_history,provenance and history,provenance and history,,,,0,,Availability of detailed provenance of preprocessing and analysis of shared data,boolean,,1,,,,,
1,1,0,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,Interoperability,interoperability,interoperability,interoperability,,,,0,,"Ability of a repository to work in a multi-database environment, availability of API’s and ability to connect to analysis pipelines",boolean,,1,,,,,
1,1,0,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,Querying,querying,querying,querying,,,,0,,"Mechanisms available for constructing queries on the repository (e.g. SQL, SPARQL)",char,,1,,,,,
1,1,0,data_sharing,Data Sharing,Data Sharing,Reporting a data sharing resource,Versioning,versioning,versioning,versioning,,,,0,,How users can check version of downloaded data and compare it to the current version at a later time,char,,1,,,,,