3,4,5,6,7,8,10,11,12,15,16,17,18,21,22,23,24,25,26,29,30,31,32,33,34,35,36,37,38,39,40
include,neurovault_or_carp,mandatory,activity,activity_pref_label,activity_description,,,,item,item_pref_label,item_description,item_order,duplicate,question,details,field_type,choices,visibility,bids_status,bids_file,bids_key,bids_key_for_unit,nidm_results,neurovault,included_in_NARPS,in_Carp_2012,percent_of_studies,percent_of_studies_anat,use_case_meta-analysis,meta-analysis_comment
1,0,1,design,Design,Design,Design specifications,Design type,rest or task,rest_or_task,rest or task,rest or task,,0,Was it task based MRI or resting state MRI?,,boolean,,1,1,,,,,,,,,,yes,NECESSARY FOR STUDY SELECTION
1,0,1,design,Design,Design,Design specifications,Length of the experiment,total scanning time,total_scanning_time,total scanning time,total scanning time,,0,What was the total scanning time?,"Important to assess subject fatigue. If differing by subject, specify summary statistics (ean, range and/or standard deviation) ",float,,1,1,,,,,,,,,,maybe,IMPORTANT IF META-ANALYSIS ON SYNDROME WITH HIGH LEVEL OF FATIGUE. MIGHT BE CONSIDER AS EXCLUSION CRITERIA
1,1,1,design,Design,Design,Design specifications,Design optimization used,,design_optimization_used,design optimization used,design optimization used,,0,Was the design efficiency optimized?,,boolean,,1,,,,,,optimization,,optmethod,5.9,,,
1,1,0,design,Design,Design,Design specifications,Design optimization method,,design_optimization_method,design optimization method,design optimization method,,0,What method was used for optimization?,,radio,,design_optimization_used,,,,,,optimization_method,,,,,,
1,0,1,design,Design,Design,Task specification,Scanner synchronisation,,scanner_synchronisation,scanner synchronisation,scanner synchronisation,,0,How was the equipment was synched to the scanner?,,radio,scanner TTL | manual synch ,1,3,,,,,,,,,,,
,,0,design,Design,Design,Power analysis,Power analysis used,,power_analysis_used,power analysis used,power analysis used,,0,,,,,1,,,,,,,,,,,,
0,0,1,design,Design,Design,Power analysis,Power analysis parameters,Effect size,effect_size,effect size,effect size,,0,Effect size used for the power calculation (magnitude and standard deviation),,char,,power_analysis_used == 1,,,,,,,,,,,,
0,0,1,design,Design,Design,Power analysis,Power analysis parameters,Outcome,outcome,outcome,outcome,,0,The type of outcome used as the basis of power computations,,dropdown,signal in a pre­specified ROI | signal in a whole image voxelwise | signal in a whole image cluster­wise | signal in a whole image peak­wise,power_analysis_used == 2,,,,,,,,,,,yes,FOR INCLUSION/EXCLUSION CRITERIA
0,0,1,design,Design,Design,Power analysis,Power analysis parameters,Source of predicted effect size,source_of_predicted_effect_size,source of predicted effect size,source of predicted effect size,,0,Source of predicted effect size,previous literature with citation; pilot data with description,char,,power_analysis_used == 3,,,,,,,,,,,yes,IMPORTANT FOR ANALYSIS WITH SOFTWARE LIKE SDM
0,0,1,design,Design,Design,Power analysis,Power analysis parameters,Significance level,significance_level,significance level,significance level,,0,Significance level,uncorrected alpha 0.05 for an ROI | FWE­corrected alpha 0.05,dropdown,uncorrected alpha 0.05 for an ROI | FWE­corrected alpha 0.05,power_analysis_used == 4,,,,,,,,,,,,
0,0,1,design,Design,Design,Power analysis,Power analysis parameters,Target power,target_power,target power,target power,,0,Target power,,float,,power_analysis_used == 5,,,,,,,,,,,yes,IMPORTNAT FOR SUB-ANALYSIS (SEE CONA and SCARPAZZA 2019)
0,0,1,design,Design,Design,Power analysis,Power analysis parameters,Other power analysis parameters,other_power_analysis_parameters,other power analysis parameters,other power analysis parameters,,0,Any other parameters set (e.g. for spatial methods a brain volume and smoothness may be needed to be specified),,char,,power_analysis_used == 6,,,,,,,,,,,,