3,5,6,7,8,10,11,15,16,17,18,19,20,21,22,23,24,25,26,29,33,34
include,mandatory,activity,activity_pref_label,activity_description,,,item,item_pref_label,item_description,item_order,mri_type,analysis_type,duplicate,question,details,field_type,choices,visibility,bids_status,nidm_results,neurovault
1,1,reproducibility,Reproducibility,Reproducibility,Documentation,Tools used,tools_used,tools used,tools used,,,,0,,"Tool names, versions, and URLs",char,,1,,,
1,1,reproducibility,Reproducibility,Reproducibility,Documentation,Infrastructure,infrastructure,infrastructure,infrastructure,,,,0,,"Machine CPU model, operating system version, any use of parallelization",char,,1,,,
1,0,reproducibility,Reproducibility,Reproducibility,Documentation,Workflow,workflow,workflow,workflow,,,,1,,"Use of a workflow system, its version and URL",char,,1,,,
1,0,reproducibility,Reproducibility,Reproducibility,Documentation,Provenance trace,provenance_trace,provenance trace,provenance trace,,,,0,,State whether detailed provenance information is available,boolean,,1,,,
0,0,reproducibility,Reproducibility,Reproducibility,Documentation,Literate program implementing results,literate_program_implementing_results,literate program implementing results,literate program implementing results,,,,0,,"Provide a URL linking to the relevant resourceÍ¾ for example, an ipython notebook implementing key analyses",char,,1,,,
1,0,reproducibility,Reproducibility,Reproducibility,Documentation,English language version,english_language_version,english language version,english language version,,,,0,,"As the scientific lingua franca, documentation should be provided in English in addition to any other languages",boolean,Is the documentation provided in English?,1,,,
1,0,reproducibility,Reproducibility,Reproducibility,Archiving,Tools availability,tools_availability,tools availability,tools availability,,,,0,,Note if tools are publically available,boolean,Are the tools publically available?,1,,,
1,0,reproducibility,Reproducibility,Reproducibility,Archiving,Virtual appliances,virtual_appliances,virtual appliances,virtual appliances,,,,0,,Note if a virtual environment to facilitate a repeated analysis is available,boolean,Is a virtual environment to facilitate a repeated analysis available?,1,,,
0,0,reproducibility,Reproducibility,Reproducibility,Data,Data,data,data,data,,,,0,???????,Provide permanent identifier if possible,char,,1,,,
1,0,reproducibility,Reproducibility,Reproducibility,Workflow,Workflow,workflow,workflow,workflow,,,,1,,Provide permanent identifier if possible,char,,1,,,